"gisid","1_1","1_2","1_3","2_1","2_2","2_3"
"697852.757765232_6101041.37370185",0,0,0,0,0,0
"758735.706765064_6062825.45358433",0,0,0,0,0,0
"717065.626476653_6106486.97038519",0,0,0,0,0,0
"758343.431447638_6062869.24342883",0,0,0,0,0,0
"704076.578278285_6086845.01451656",0,0,0,0,0,0
"704640.634311912_6087736.69076917",0,0,0,0,0,0
"599824.210645496_6117765.82400757",0,0,0,1,0,1
"592988.015357569_6122067.78779637",0,0,0,0,0,0
"693762.837867719_6103175.90778529",0,0,0,0,0,1
"694116.488525555_6101933.11704674",0,0,0,0,0,0
"694138.361324481_6101027.89406158",0,0,0,0,0,0
"705003.099164863_6087634.27658258",0,0,0,0,0,0
"594170.886216019_6125261.49986174",0,0,0,0,1,0
"596301.818041203_6122500.26224182",1,0,0,0,0,0
"693457.363942522_6102615.48589262",0,0,0,0,0,0
"704028.856811559_6087224.96099833",0,0,0,0,0,0
"704071.849743966_6087540.85806172",0,0,0,0,0,0
"705251.451625096_6087075.46377187",0,0,0,0,0,0
"759045.234767327_6060753.85220761",0,0,1,0,0,0
"759314.844840082_6061403.53230627",0,0,0,0,0,0
"759489.424828986_6061733.11717835",0,0,0,0,0,0
"759658.905568451_6062085.72259807",1,1,0,1,0,1
"704400.43828984_6087978.39592774",0,0,0,0,0,0
"592847.321971381_6120320.37326501",0,0,0,0,0,0
"758423.443136501_6060376.63904784",1,1,1,0,0,0
"760833.484631299_6062905.01243977",1,0,1,1,0,0
"723719.517762957_6089872.12632745",0,0,0,0,0,0
"714056.339924472_6072588.6610898",0,0,0,0,0,0
"700797.849016063_6091627.83775198",0,0,0,0,0,0
"700854.956580447_6090629.46574351",0,0,0,0,0,0
"701030.522801675_6090309.93965716",0,0,0,0,0,0
"701224.716480543_6091117.41002745",0,0,0,1,0,0
"701284.135422167_6090568.86820418",0,0,0,0,0,0
"713057.283956458_6072524.5757974",0,0,0,0,0,0
"713311.786704591_6072277.6888425",0,0,0,0,1,0
"713585.204889571_6072050.8750554",1,0,0,0,0,0
"715257.364739632_6074029.6408871",0,0,0,0,0,0
"715502.494499895_6073841.25625968",0,0,0,0,0,0
"715956.291940903_6073807.06830073",0,0,0,0,0,0
"716351.646025772_6073760.53404661",0,0,0,0,0,0
"716428.122536171_6072772.21147619",0,0,0,0,0,0
"716656.718783911_6073031.67700501",0,0,0,0,0,0
"717106.060132758_6073566.2039145",0,0,0,0,1,0
"595162.930310276_6122268.66414638",0,0,1,0,0,0
"594536.142219839_6121860.20669405",0,0,0,0,0,0
"700811.449855595_6091617.64218161",0,0,0,0,0,0
"625272.910654145_6144561.5665154",0,0,0,0,0,0
"713030.73282323_6073006.86896894",0,0,0,0,0,1
"713535.486398115_6073043.7005591",1,1,1,0,0,1
"751393.572992948_6167073.69595898",0,0,0,0,0,0
"705271.71301877_6103622.08686575",0,0,0,0,0,0
"705530.184005479_6102852.55807078",0,0,0,0,0,0
"708530.564443839_6102500.5398665",0,0,0,0,0,0
"624248.655446433_6144422.52277578",0,0,0,0,0,0
"623883.918674297_6144565.72225519",0,0,0,0,0,0
"763521.69927079_6192429.64612425",0,0,0,0,0,0
"766233.857338806_6190136.39653453",0,0,0,0,0,0
"799813.419954966_6057563.65046542",1,1,1,1,1,1
"800138.828878009_6057692.45140706",0,0,0,0,1,1
"800400.897671447_6057210.22002911",1,0,0,0,0,0
"801077.215474376_6057688.80034914",0,0,0,0,0,0
"729474.635840268_6181920.61102202",0,0,0,0,0,0
"730955.403336724_6182112.49499058",0,0,0,0,0,0
"747366.819308369_6247729.1021715",0,0,0,0,0,0
"748563.565477508_6245915.96046987",0,0,0,0,0,0
"797492.593070043_6056728.66166094",0,0,1,0,0,0
"797675.365659276_6057970.93360764",0,0,0,0,0,0
"798399.04567359_6058023.2619701",0,0,0,1,0,0
"746763.24504307_6247718.07837398",0,0,0,0,0,0
"797138.477755325_6057525.35764091",0,0,0,0,0,0
"602060.90466052_6132465.42688054",0,0,0,0,0,0
"747940.069099451_6245902.73423945",0,0,0,0,0,0
"746765.699287195_6244127.87100416",0,0,0,0,0,0
"782168.679848521_6192145.56243455",0,0,0,0,0,0
"782342.028163726_6191851.9899164",0,0,0,0,0,0
"600619.064477834_6132608.70362888",0,0,0,0,0,0
"601685.702899165_6130719.95055175",0,0,0,0,0,0
"781135.594490885_6192367.46968221",0,0,0,0,0,0
"750373.615388707_6157063.65391814",0,0,0,0,0,0
"705443.249260581_6114536.73740139",0,0,0,0,0,0
"718536.079111487_6377630.05118566",0,0,0,0,0,0
